Date,Symbol,Close,High,Low,Open,Volume
2023/3/27,BTC-USD,27139.88867,28037.92578,26606.68945,27994.06836,18188895178
2023/3/28,BTC-USD,27268.13086,27460.71875,26677.81836,27132.88867,17783600385
2023/3/29,BTC-USD,28348.44141,28619.54297,27259.66211,27267.03125,20684945906
2023/3/30,BTC-USD,28033.5625,29159.90234,27720.16016,28350.14063,22435349951
2023/3/31,BTC-USD,28478.48438,28639.89648,27583.71484,28032.26172,19001327598
2023/4/1,BTC-USD,28411.03516,28802.45703,28297.17188,28473.33203,10876469901
2023/4/2,BTC-USD,28199.30859,28518.95898,27884.08789,28462.8457,12284641999
2023/4/3,BTC-USD,27790.2207,28475.62305,27276.7207,28183.08008,19556501327
2023/4/4,BTC-USD,28168.08984,28433.74219,27681.30469,27795.27344,15284538859
2023/4/5,BTC-USD,28177.98438,28739.23828,27843.76367,28169.72656,17052315986
2023/4/6,BTC-USD,28044.14063,28178.38477,27738.75977,28175.22656,13837809380
2023/4/7,BTC-USD,27925.85938,28111.59375,27794.03125,28038.9668,10861680497
2023/4/8,BTC-USD,27947.79492,28159.86328,27883.38672,27920.51367,9373255556
2023/4/9,BTC-USD,28333.05078,28532.83008,27828.48047,27952.36719,12175322951
2023/4/10,BTC-USD,29652.98047,29771.46484,28189.27148,28336.02734,19282400094
2023/4/11,BTC-USD,30235.05859,30509.08398,29609.30078,29653.67969,20121259843
2023/4/12,BTC-USD,30139.05273,30462.48047,29725.57422,30231.58203,18651929926
2023/4/13,BTC-USD,30399.06641,30539.8457,29878.62305,29892.74023,17487721001
2023/4/14,BTC-USD,30485.69922,31005.60742,30044.49805,30409.5625,22659995079
2023/4/15,BTC-USD,30318.49609,30601.74023,30245.88281,30490.75,11940685378
2023/4/16,BTC-USD,30315.35547,30555.53711,30157.83203,30315.97656,12854816417
2023/4/17,BTC-USD,29445.04492,30319.19727,29275.37109,30317.14648,17872186762
2023/4/18,BTC-USD,30397.55273,30470.30273,29154.84961,29449.0918,19480529496
2023/4/19,BTC-USD,28822.67969,30411.05469,28669.89844,30394.1875,24571565421
2023/4/20,BTC-USD,28245.98828,29076.40039,28037.25781,28823.68359,21340360360
2023/4/21,BTC-USD,27276.91016,28349.96875,27177.36523,28249.23047,20759504330
2023/4/22,BTC-USD,27817.5,27872.14258,27169.57031,27265.89453,13125734602
2023/4/23,BTC-USD,27591.38477,27820.24414,27400.31445,27816.14453,12785446832
2023/4/24,BTC-USD,27525.33984,27979.98242,27070.84961,27591.73047,17703288330
2023/4/25,BTC-USD,28307.59766,28371.07813,27207.93164,27514.87305,17733373139
2023/4/26,BTC-USD,28422.70117,29995.83789,27324.54883,28300.05859,31854242019
2023/4/27,BTC-USD,29473.78711,29871.54688,28402.88672,28428.46484,27153445027
2023/4/28,BTC-USD,29340.26172,29572.79102,28929.60938,29481.01367,17544464887
2023/4/29,BTC-USD,29248.48828,29452.45508,29088.04297,29336.56641,10662634333
2023/4/30,BTC-USD,29268.80664,29952.0293,29114.02148,29245.51563,14652199272
2023/5/1,BTC-USD,28091.56836,29329.93555,27680.79297,29227.10352,18655599976
2023/5/2,BTC-USD,28680.53711,28881.29883,27924.12305,28087.17578,16432924527
2023/5/3,BTC-USD,29006.30859,29259.5332,28178.38867,28680.49414,19122972518
2023/5/4,BTC-USD,28847.71094,29353.18555,28694.03906,29031.30469,15548678514
2023/5/5,BTC-USD,29534.38477,29668.9082,28845.50977,28851.48047,17936566518
2023/5/6,BTC-USD,28904.62305,29820.12695,28468.9668,29538.85938,15913866714
2023/5/7,BTC-USD,28454.97852,29157.51758,28441.36719,28901.62305,11301355486
2023/5/8,BTC-USD,27694.27344,28663.27148,27310.13477,28450.45703,19122903752
2023/5/9,BTC-USD,27658.77539,27821.40039,27375.60156,27695.06836,14128593256
2023/5/10,BTC-USD,27621.75586,28322.6875,26883.66992,27654.63672,20656025026
2023/5/11,BTC-USD,27000.78906,27621.94141,26781.82617,27621.08594,16724343943
2023/5/12,BTC-USD,26804.99023,27055.64648,25878.42969,26987.66211,19313599897
2023/5/13,BTC-USD,26784.07813,27030.48242,26710.87305,26807.76953,9999171605
2023/5/14,BTC-USD,26930.63867,27150.97656,26661.35547,26788.97461,10014858959
2023/5/15,BTC-USD,27192.69336,27646.34766,26766.09766,26931.38477,14413231792
2023/5/16,BTC-USD,27036.65039,27299.30469,26878.94727,27171.51367,12732238816
2023/5/17,BTC-USD,27398.80273,27465.92773,26600.14453,27035.4707,15140006925
2023/5/18,BTC-USD,26832.20898,27466.52734,26415.10156,27401.65039,15222938600
2023/5/19,BTC-USD,26890.12891,27128.61914,26700.21094,26826.75391,11258983301
2023/5/20,BTC-USD,27129.58594,27155.1582,26843.27734,26888.8418,7044911360
2023/5/21,BTC-USD,26753.82617,27265.91797,26706.92188,27118.42383,8647416921
2023/5/22,BTC-USD,26851.27734,27045.73438,26549.73438,26749.89258,11056770492
2023/5/23,BTC-USD,27225.72656,27434.68359,26816.17969,26855.96094,13697203143
2023/5/24,BTC-USD,26334.81836,27224.60352,26106.57617,27224.60352,16299104428
2023/5/25,BTC-USD,26476.20703,26591.51953,25890.59375,26329.46094,13851122697
2023/5/26,BTC-USD,26719.29102,26916.66992,26343.94922,26474.18164,12711619225
2023/5/27,BTC-USD,26868.35352,26888.88281,26621.14063,26720.18164,7892015141
2023/5/28,BTC-USD,28085.64648,28193.44922,26802.75195,26871.1582,14545229578
2023/5/29,BTC-USD,27745.88477,28432.03906,27563.87695,28075.5918,15181308984
2023/5/30,BTC-USD,27702.34961,28044.75977,27588.50195,27745.12305,13251081851
2023/5/31,BTC-USD,27219.6582,27831.67773,26866.45313,27700.5293,15656371534
2023/6/1,BTC-USD,26819.97266,27346.10547,26671.7207,27218.41211,14678970415
2023/6/2,BTC-USD,27249.58984,27303.86133,26574.64453,26824.55664,14837415000
2023/6/3,BTC-USD,27075.12891,27317.05273,26958.00391,27252.32422,8385597470
2023/6/4,BTC-USD,27119.06641,27407.01953,26968.22461,27075.12305,9360912318
2023/6/5,BTC-USD,25760.09766,27129.98242,25445.16797,27123.10938,21513292646
2023/6/6,BTC-USD,27238.7832,27313.82031,25434.86719,25732.10938,21929670693
2023/6/7,BTC-USD,26345.99805,27332.18164,26146.98828,27235.65039,19530045082
2023/6/8,BTC-USD,26508.2168,26797.51367,26246.66406,26347.6543,11904824295
2023/6/9,BTC-USD,26480.375,26770.28906,26339.31445,26505.92383,11015551640
2023/6/10,BTC-USD,25851.24023,26531.04492,25501.83594,26481.76172,19872933189
2023/6/11,BTC-USD,25940.16797,26203.43945,25668.98633,25854.03125,10732609603
2023/6/12,BTC-USD,25902.5,26087.91992,25675.19727,25934.28516,11677889997
2023/6/13,BTC-USD,25918.72852,26376.35156,25728.36523,25902.94141,14143474486
2023/6/14,BTC-USD,25124.67578,26041.80078,24902.15234,25920.25781,14265717766
2023/6/15,BTC-USD,25576.39453,25735.30859,24797.16797,25121.67383,15837384409
2023/6/16,BTC-USD,26327.46289,26463.17383,25245.35742,25575.2832,16324646965
2023/6/17,BTC-USD,26510.67578,26769.39453,26174.49219,26328.67969,11090276850
2023/6/18,BTC-USD,26336.21289,26675.92578,26325.89063,26510.45703,9565695129
2023/6/19,BTC-USD,26851.0293,26984.61133,26312.83203,26335.44141,12826986222
2023/6/20,BTC-USD,28327.48828,28388.96875,26668.79102,26841.66406,22211859147
2023/6/21,BTC-USD,30027.29688,30737.33008,28283.41016,28311.31055,33346760979
2023/6/22,BTC-USD,29912.28125,30495.99805,29679.1582,29995.93555,20653160491
2023/6/23,BTC-USD,30695.46875,31389.53906,29845.21484,29896.38281,24115570085
2023/6/24,BTC-USD,30548.69531,30804.14844,30290.14648,30708.73828,12147822496
2023/6/25,BTC-USD,30480.26172,31041.27148,30327.94336,30545.15039,12703464114
2023/6/26,BTC-USD,30271.13086,30636.0293,29955.74414,30480.52344,16493186997
2023/6/27,BTC-USD,30688.16406,31006.78711,30236.65039,30274.32031,16428827944
2023/6/28,BTC-USD,30086.24609,30703.2793,29921.82227,30696.56055,14571500779
2023/6/29,BTC-USD,30445.35156,30796.25,30057.20313,30086.1875,13180860821
2023/6/30,BTC-USD,30477.25195,31256.86328,29600.27539,30441.35352,26387306197
2023/7/1,BTC-USD,30590.07813,30641.28906,30328.86523,30471.84766,9086606733
2023/7/2,BTC-USD,30620.76953,30766.14063,30264.01953,30587.26953,10533418042
2023/7/3,BTC-USD,31156.43945,31375.61328,30586.51367,30624.51563,15271884873
2023/7/4,BTC-USD,30777.58203,31325.19727,30659.35547,31156.86523,12810828427
2023/7/5,BTC-USD,30514.16602,30877.33008,30225.61328,30778.72461,12481622280
2023/7/6,BTC-USD,29909.33789,31460.05273,29892.22656,30507.15039,21129219509
2023/7/7,BTC-USD,30342.26563,30434.64453,29777.28516,29907.99805,13384770155
2023/7/8,BTC-USD,30292.54102,30374.4375,30080.16016,30346.92188,7509378699
2023/7/9,BTC-USD,30171.23438,30427.58984,30085.5918,30291.61133,7903327692
2023/7/10,BTC-USD,30414.4707,31026.08398,29985.39453,30172.42383,14828209155
2023/7/11,BTC-USD,30620.95117,30788.31445,30358.09766,30417.63281,12151839152
2023/7/12,BTC-USD,30391.64648,30959.96484,30228.83594,30622.24609,14805659717
2023/7/13,BTC-USD,31476.04883,31814.51563,30268.35156,30387.48828,23686079548
2023/7/14,BTC-USD,30334.06836,31582.25391,29966.38672,31474.7207,20917902660
2023/7/15,BTC-USD,30295.80664,30407.78125,30263.46289,30331.7832,8011667756
2023/7/16,BTC-USD,30249.13281,30437.56055,30089.66992,30297.47266,8516564470
2023/7/17,BTC-USD,30145.88867,30336.40039,29685.7832,30249.62695,13240156074
2023/7/18,BTC-USD,29856.5625,30233.65625,29556.42773,30147.07031,13138897269
2023/7/19,BTC-USD,29913.92383,30184.18164,29794.26953,29862.04688,12128602812
2023/7/20,BTC-USD,29792.01563,30195.53125,29638.0957,29915.25,14655207121
2023/7/21,BTC-USD,29908.74414,30045.99805,29733.85156,29805.11133,10972789818
2023/7/22,BTC-USD,29771.80273,29991.61523,29664.12109,29908.69727,7873300598
2023/7/23,BTC-USD,30084.53906,30330.64063,29741.52734,29790.11133,9220145050
2023/7/24,BTC-USD,29176.91602,30093.39453,28934.29492,30081.66211,15395817395
2023/7/25,BTC-USD,29227.39063,29353.16016,29062.43359,29178.9707,10266772793
2023/7/26,BTC-USD,29354.97266,29675.55273,29113.91211,29225.75977,13497554655
2023/7/27,BTC-USD,29210.68945,29560.9668,29099.35156,29353.79883,10770779217
2023/7/28,BTC-USD,29319.24609,29521.51367,29125.8457,29212.16406,11218474952
2023/7/29,BTC-USD,29356.91797,29396.84375,29264.16602,29319.44531,6481775959
2023/7/30,BTC-USD,29275.30859,29443.16992,29059.50195,29357.09375,8678454527
2023/7/31,BTC-USD,29230.11133,29489.87305,29131.57813,29278.31445,11656781982
2023/8/1,BTC-USD,29675.73242,29675.73242,28657.02344,29230.87305,18272392391
2023/8/2,BTC-USD,29151.95898,29987.99805,28946.50977,29704.14648,19212655598
2023/8/3,BTC-USD,29178.67969,29375.70703,28959.48828,29161.8125,12780357746
2023/8/4,BTC-USD,29074.0918,29302.07813,28885.33594,29174.38281,12036639988
2023/8/5,BTC-USD,29042.12695,29102.46484,28957.79688,29075.38867,6598366353
2023/8/6,BTC-USD,29041.85547,29160.82227,28963.83398,29043.70117,7269806994
2023/8/7,BTC-USD,29180.57813,29244.28125,28724.14063,29038.51367,13618163710
2023/8/8,BTC-USD,29765.49219,30176.79688,29113.81445,29180.01953,17570561357
2023/8/9,BTC-USD,29561.49414,30093.43555,29376.80078,29766.69531,18379521213
2023/8/10,BTC-USD,29429.5918,29688.56445,29354.44727,29563.97266,11865344789
2023/8/11,BTC-USD,29397.71484,29517.77344,29253.51758,29424.90234,10195168197
